"","word","freq"
"rocks","rocks",7
"says","says",7
"school","school",7
"seen","seen",7
"serving","serving",7
"sign","sign",7
"smoking","smoking",7
"surprised","surprised",7
"tastes","tastes",7
"terrific","terrific",7
"thru","thru",7
"treat","treat",7
"truffle","truffle",7
"variety","variety",7
"wedge","wedge",7
"weekends","weekends",7
"wild","wild",7
"year","year",7
"6pm","6pm",6
"across","across",6
"anywhere","anywhere",6
"attention","attention",6
"authentic","authentic",6
"avon","avon",6
"banana","banana",6
"believe","believe",6
"bike","bike",6
"bland","bland",6
"bloomin","bloomin",6
"brussels","brussels",6
"buffalo","buffalo",6
"bun","bun",6
"cakes","cakes",6
"casino","casino",6
"casual","casual",6
"change","change",6
"choice","choice",6
"choose","choose",6
"christmas","christmas",6
"cigar","cigar",6
"class","class",6
"couple","couple",6
"crispy","crispy",6
"cute","cute",6
"dark","dark",6
"def","def",6
"dip","dip",6
"disappoints","disappoints",6
"discount","discount",6
"drinking","drinking",6
"due","due",6
"enjoying","enjoying",6
"entertaining","entertaining",6
"everyday","everyday",6
"everyone","everyone",6
"falls","falls",6
"fire","fire",6
"forget","forget",6
"forgot","forgot",6
"forward","forward",6
"fridays","fridays",6
"friend","friend",6
"gem","gem",6
"glass","glass",6
"gonna","gonna",6
"greasy","greasy",6
"gross","gross",6
"groupon","groupon",6
"groups","groups",6
"guys","guys",6
"help","help",6
"hubby","hubby",6
"husband","husband",6
"japanese","japanese",6
"later","later",6
"life","life",6
"located","located",6
"lol","lol",6
"mashed","mashed",6
"may","may",6
"might","might",6
"mondays","mondays",6
"month","month",6
"mouth","mouth",6
"nom","nom",6
"outdoor","outdoor",6
"overcooked","overcooked",6
"par","par",6
"parmesan","parmesan",6
"pickles","pickles",6
"piece","piece",6
"points","points",6
"pot","pot",6
"pour","pour",6
"pre","pre",6
"pub","pub",6
"restaurants","restaurants",6
"returning","returning",6
"section","section",6
"several","several",6
"shakes","shakes",6
"since","since",6
"slightly","slightly",6
"smoke","smoke",6
"solid","solid",6
"somewhere","somewhere",6
"south","south",6
"starts","starts",6
"tail","tail",6
"takeout","takeout",6
"thursdays","thursdays",6
"toast","toast",6
"tomato","tomato",6
"totally","totally",6
"type","type",6
"unless","unless",6
"upon","upon",6
"usual","usual",6
"vodka","vodka",6
"walking","walking",6
"wednesdays","wednesdays",6
"winner","winner",6
"wish","wish",6
"150","150",5
"2nd","2nd",5
"47pm","47pm",5
"absinthe","absinthe",5
"advance","advance",5
"amount","amount",5
"apple","apple",5
"appreciate","appreciate",5
"ass","ass",5
"atomic","atomic",5
"attitude","attitude",5
"aware","aware",5
"barely","barely",5
"beans","beans",5
"beverages","beverages",5
"blooming","blooming",5
"bourbon","bourbon",5
"brought","brought",5
"brussel","brussel",5
"burgh","burgh",5
"buy","buy",5
"cards","cards",5
"cash","cash",5
"charged","charged",5
"chilean","chilean",5
"clams","clams",5
"classic","classic",5
"closing","closing",5
"combo","combo",5
"consistent","consistent",5
"cooks","cooks",5
"crap","crap",5
"credit","credit",5
"cruise","cruise",5
"decided","decided",5
"deep","deep",5
"delivery","delivery",5
"divine","divine",5
"employees","employees",5
"express","express",5
"face","face",5
"fed","fed",5
"felt","felt",5
"fill","fill",5
"flavors","flavors",5
"floor","floor",5
"frozen","frozen",5
"fruit","fruit",5
"generous","generous",5
"gorgeous","gorgeous",5
"gotta","gotta",5
"gourmet","gourmet",5
"grab","grab",5
"happened","happened",5
"hate","hate",5
"heat","heat",5
"helpful","helpful",5
"iced","iced",5
"idea","idea",5
"impressed","impressed",5
"incredibly","incredibly",5
"inexpensive","inexpensive",5
"interior","interior",5
"item","item",5
"jazz","jazz",5
"join","join",5
"juicy","juicy",5
"kind","kind",5
"landrys","landrys",5
"lazy","lazy",5
"light","light",5
"limited","limited",5
"liquor","liquor",5
"looked","looked",5
"margarita","margarita",5
"meet","meet",5
"mexican","mexican",5
"mike","mike",5
"minute","minute",5
"mmmmm","mmmmm",5
"mule","mule",5
"neighborhood","neighborhood",5
"noisy","noisy",5
"non","non",5
"number","number",5
"online","online",5
"opening","opening",5
"opens","opens",5
"orders","orders",5
"oscar","oscar",5
"otherwise","otherwise",5
"overall","overall",5
"owners","owners",5
"past","past",5
"paying","paying",5
"philly","philly",5
"phone","phone",5
"porterhouse","porterhouse",5
"pricy","pricy",5
"prompt","prompt",5
"pulled","pulled",5
"quaint","quaint",5
"quaker","quaker",5
"read","read",5
"reason","reason",5
"request","request",5
"rest","rest",5
"rings","rings",5
"romantic","romantic",5
"rushed","rushed",5
"salty","salty",5
"seasoning","seasoning",5
"sent","sent",5
"seriously","seriously",5
"share","share",5
"shit","shit",5
"smells","smells",5
"smoked","smoked",5
"sorry","sorry",5
"specialty","specialty",5
"spinach","spinach",5
"started","started",5
"stone","stone",5
"strings","strings",5
"strong","strong",5
"sucked","sucked",5
"supper","supper",5
"takes","takes",5
"taking","taking",5
"tartare","tartare",5
"tasting","tasting",5
"traditional","traditional",5
"triple","triple",5
"truly","truly",5
"turkey","turkey",5
"typical","typical",5
"vegan","vegan",5
"volcano","volcano",5
"waiters","waiters",5
"waitresses","waitresses",5
"wall","wall",5
"walleye","walleye",5
"watch","watch",5
"website","website",5
"whole","whole",5
"wrapped","wrapped",5
"yeah","yeah",5
"1000","1000",4
"9pm","9pm",4
"absolute","absolute",4
"accepted","accepted",4
"accommodating","accommodating",4
"added","added",4
"affordable","affordable",4
"ale","ale",4
"already","already",4
"american","american",4
"anymore","anymore",4
"arrived","arrived",4
"asparagus","asparagus",4
"bag","bag",4
"basket","basket",4
"battered","battered",4
"benedict","benedict",4
"bite","bite",4
"blah","blah",4
"blossom","blossom",4
"browns","browns",4
"cactus","cactus",4
"cajun","cajun",4
"canned","canned",4
"careful","careful",4
"center","center",4
"changes","changes",4
"changing","changing",4
"cheddar","cheddar",4
"children","children",4
"chilli","chilli",4
"chinese","chinese",4
"chowder","chowder",4
"chris","chris",4
"clam","clam",4
"coke","coke",4
"comfy","comfy",4
"complimentary","complimentary",4
"consistently","consistently",4
"convenient","convenient",4
"corn","corn",4
"count","count",4
"coupon","coupon",4
"coupons","coupons",4
"craft","craft",4
"crusted","crusted",4
"currently","currently",4
"dead","dead",4
"disappoint","disappoint",4
"district","district",4
"dog","dog",4
"doubt","doubt",4
"draft","draft",4
"dress","dress",4
"drop","drop",4
"duke","duke",4
"earn","earn",4
"easily","easily",4
"eggs","eggs",4
"elegant","elegant",4
"elite","elite",4
"email","email",4
"enjoyable","enjoyable",4
"entire","entire",4
"everywhere","everywhere",4
"exactly","exactly",4
"excited","excited",4
"extensive","extensive",4
"fail","fail",4
"fall","fall",4
"fancy","fancy",4
"finish","finish",4
"flemings","flemings",4
"found","found",4
"front","front",4
"fyi","fyi",4
"games","games",4
"given","given",4
"god","god",4
"grass","grass",4
"gratin","gratin",4
"hand","hand",4
"head","head",4
"hills","hills",4
"hmmm","hmmm",4
"hold","hold",4
"hook","hook",4
"hoping","hoping",4
"hurry","hurry",4
"includes","includes",4
"ipa","ipa",4
"island","island",4
"knows","knows",4
"lava","lava",4
"loaded","loaded",4
"lousy","lousy",4
"lovely","lovely",4
"lube","lube",4
"luck","luck",4
"lucky","lucky",4
"march","march",4
"marys","marys",4
"meeting","meeting",4
"melt","melt",4
"mention","mention",4
"missed","missed",4
"missing","missing",4
"mood","mood",4
"morning","morning",4
"moscow","moscow",4
"occasion","occasion",4
"omelet","omelet",4
"others","others",4
"park","park",4
"peanut","peanut",4
"period","period",4
"petite","petite",4
"pleasant","pleasant",4
"plenty","plenty",4
"popular","popular",4
"porter","porter",4
"prefer","prefer",4
"private","private",4
"professional","professional",4
"pull","pull",4
"quit","quit",4
"rate","rate",4
"rather","rather",4
"received","received",4
"recently","recently",4
"refreshing","refreshing",4
"retail","retail",4
"revel","revel",4
"rewards","rewards",4
"roasted","roasted",4
"sad","sad",4
"salt","salt",4
"sam","sam",4
"sauces","sauces",4
"saw","saw",4
"saying","saying",4
"seasoned","seasoned",4
"seemed","seemed",4
"select","select",4
"selections","selections",4
"shopping","shopping",4
"shot","shot",4
"shots","shots",4
"signature","signature",4
"simple","simple",4
"soft","soft",4
"soo","soo",4
"spectacular","spectacular",4
"stake","stake",4
"step","step",4
"suggest","suggest",4
"sun","sun",4
"supposed","supposed",4
"surprisingly","surprisingly",4
"tart","tart",4
"texas","texas",4
"thumbs","thumbs",4
"tiger","tiger",4
"til","til",4
"tiny","tiny",4
"ton","ton",4
"treated","treated",4
"trust","trust",4
"unfriendly","unfriendly",4
"update","update",4
"upscale","upscale",4
"using","using",4
"valentines","valentines",4
"veggies","veggies",4
"visited","visited",4
"waffles","waffles",4
"walked","walked",4
"wear","wear",4
"window","window",4
"winter","winter",4
"won","won",4
"wont","wont",4
"worse","worse",4
"yellow","yellow",4
"yumm","yumm",4
"yummmm","yummmm",4
"10pm","10pm",3
"1130","1130",3
"200","200",3
"2012","2012",3
"2017","2017",3
"2019","2019",3
"350","350",3
"430","430",3
"46pm","46pm",3
"700","700",3
"799","799",3
"aarp","aarp",3
"adams","adams",3
"addition","addition",3
"additional","additional",3
"address","address",3
"ago","ago",3
"alcohol","alcohol",3
"allow","allow",3
"alone","alone",3
"amanda","amanda",3
"anyone","anyone",3
"apparently","apparently",3
"appetite","appetite",3
"asking","asking",3
"atrias","atrias",3
"bags","bags",3
"band","band",3
"based","based",3
"bday","bday",3
"behind","behind",3
"benedicts","benedicts",3
